Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4089882.949000	11	-0.543862	1.295546	0.070000	0.000001	0.000001	0.541514	
b'eagle1'	4089883.641000	11	-0.543958	1.295608	0.070000	0.000001	0.000001	0.541482	
b'eagle1'	4089884.343000	11	-0.543811	1.295718	0.070000	-0.000001	-0.000001	0.541613	
b'eagle1'	4089885.037000	11	-0.543816	1.295576	0.070000	0.000001	-0.000001	0.541441	
b'eagle1'	4089885.733000	11	-0.543790	1.295722	0.070000	0.000001	-0.000001	0.541045	
b'eagle1'	4089886.427000	11	-0.543414	1.292392	0.070000	0.000001	-0.000001	0.537551	
b'eagle1'	4089887.123000	11	-0.538043	1.285925	0.070000	0.000000	-0.000000	0.536470	
b'eagle1'	4089887.825000	11	-0.532571	1.279571	0.070000	0.000000	-0.000000	0.536937	
b'eagle1'	4089888.525000	11	-0.526953	1.272918	0.070000	0.000000	-0.000000	0.537113	
b'eagle1'	4089889.222000	11	-0.521299	1.266684	0.070000	-0.000001	0.000001	0.535936	
b'eagle1'	4089889.918000	11	-0.515403	1.260502	0.070000	0.000001	0.000001	0.538222	
b'eagle1'	4089890.618000	11	-0.509588	1.253910	0.070000	-0.000001	-0.000001	0.539117	
b'eagle1'	4089891.315000	11	-0.503966	1.247522	0.070000	0.000000	0.000001	0.538154	
b'eagle1'	4089892.010000	11	-0.498422	1.241150	0.070000	0.000001	-0.000001	0.536037	
b'eagle1'	4089892.703000	11	-0.492521	1.234991	0.070000	0.000001	-0.000001	0.537001	
b'eagle1'	4089893.398000	11	-0.487003	1.228301	0.070000	-0.000001	0.000002	0.535837	
b'eagle1'	4089894.098000	11	-0.481759	1.222032	0.070000	0.000000	-0.000000	0.535069	
b'eagle1'	4089894.793000	11	-0.476137	1.215473	0.070000	-0.000001	0.000001	0.535043	
b'eagle1'	4089895.493000	11	-0.470589	1.208918	0.070000	0.000000	0.000001	0.534745	
b'eagle1'	4089896.189000	11	-0.464767	1.202349	0.070000	0.000000	-0.000000	0.536240	
b'eagle1'	4089896.885000	11	-0.459217	1.195806	0.070000	0.000000	0.000001	0.536634	
b'eagle1'	4089897.579000	11	-0.453596	1.189465	0.070000	-0.000000	-0.000001	0.536326	
b'eagle1'	4089898.067000	11	-0.447869	1.183050	0.070000	-0.000001	-0.000001	0.535393	
b'eagle1'	4089898.854000	11	-0.443811	1.178818	0.070000	0.000000	0.000001	0.533906	
b'eagle1'	4089899.641000	11	-0.437229	1.171337	0.070000	-0.000000	-0.000001	0.534170	
b'eagle1'	4089900.316000	11	-0.430786	1.163748	0.070000	-0.000001	0.000001	0.533329	
b'eagle1'	4089900.984000	11	-0.425474	1.157630	0.070000	0.000001	0.000001	0.535470	
b'eagle1'	4089901.651000	11	-0.419887	1.151418	0.070000	-0.000001	-0.000001	0.535807	
b'eagle1'	4089902.320000	11	-0.414283	1.144814	0.070000	0.000000	-0.000000	0.535147	
b'eagle1'	4089902.986000	11	-0.408752	1.138466	0.070000	0.000000	-0.000000	0.535534	
b'eagle1'	4089903.653000	11	-0.403295	1.132200	0.070000	-0.000001	-0.000001	0.536381	
b'eagle1'	4089904.319000	11	-0.397723	1.125833	0.070000	-0.000000	-0.000001	0.537607	
b'eagle1'	4089904.988000	11	-0.392103	1.119584	0.070000	0.000000	0.000001	0.534668	
b'eagle1'	4089905.655000	11	-0.386594	1.113304	0.070000	-0.000001	0.000001	0.531579	
b'eagle1'	4089906.324000	11	-0.381123	1.107122	0.070000	0.000001	-0.000001	0.531865	
b'eagle1'	4089906.995000	11	-0.375898	1.101061	0.070000	0.000000	-0.000000	0.530158	
b'eagle1'	4089907.664000	11	-0.370801	1.094887	0.070000	0.000000	-0.000000	0.528715	
b'eagle1'	4089908.336000	11	-0.365267	1.088668	0.070000	0.000000	-0.000000	0.528548	
b'eagle1'	4089909.002000	11	-0.359394	1.082113	0.070000	-0.000000	-0.000001	0.530072	
b'eagle1'	4089909.671000	11	-0.354181	1.075860	0.070000	-0.000001	0.000001	0.531366	
b'eagle1'	4089910.342000	11	-0.348666	1.069489	0.070000	0.000001	0.000001	0.532781	
