Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4083980.821000	11	0.105110	1.412504	0.070000	0.000000	-0.000000	-2.452282	
b'eagle1'	4083981.523000	11	0.105143	1.412443	0.070000	0.000000	-0.000000	-2.452919	
b'eagle1'	4083982.231000	11	0.105153	1.412549	0.070000	-0.000000	0.000001	-2.452385	
b'eagle1'	4083982.928000	11	0.105111	1.412458	0.070000	-0.000000	0.000001	-2.453021	
b'eagle1'	4083983.627000	11	0.105092	1.412492	0.070000	0.000001	-0.000001	-2.452767	
b'eagle1'	4083984.323000	11	0.105173	1.412476	0.070000	0.000000	-0.000001	-2.454233	
b'eagle1'	4083985.021000	11	0.105099	1.412426	0.070000	0.000000	-0.000000	-2.453017	
b'eagle1'	4083985.721000	11	0.105180	1.412428	0.070000	-0.000000	0.000001	-2.452601	
b'eagle1'	4083986.419000	11	0.105339	1.404989	0.070000	0.000001	-0.000001	-2.452194	
b'eagle1'	4083987.121000	11	0.105814	1.392158	0.070000	0.000000	-0.000001	-2.451062	
b'eagle1'	4083987.822000	11	0.106355	1.378845	0.070000	-0.000000	0.000001	-2.452473	
b'eagle1'	4083988.527000	11	0.106587	1.365651	0.070000	-0.000000	0.000001	-2.451135	
b'eagle1'	4083989.235000	11	0.107213	1.352003	0.070000	-0.000001	-0.000001	-2.448161	
b'eagle1'	4083989.947000	11	0.107750	1.339173	0.070000	-0.000000	0.000001	-2.450882	
b'eagle1'	4083990.654000	11	0.108066	1.326260	0.070000	0.000001	0.000001	-2.451268	
b'eagle1'	4083991.444000	11	0.108614	1.313356	0.070000	-0.000001	-0.000001	-2.452735	
b'eagle1'	4083992.158000	11	0.109150	1.298821	0.070000	0.000000	-0.000000	-2.447501	
b'eagle1'	4083992.948000	11	0.109813	1.285211	0.070000	0.000000	-0.000000	-2.446120	
b'eagle1'	4083993.739000	11	0.110310	1.270720	0.070000	0.000001	-0.000001	-2.447630	
b'eagle1'	4083994.531000	11	0.110722	1.255834	0.070000	-0.000000	0.000001	-2.449759	
b'eagle1'	4083995.252000	11	0.111012	1.240911	0.070000	-0.000000	0.000001	-2.452406	
b'eagle1'	4083995.961000	11	0.111323	1.227535	0.070000	0.000001	-0.000001	-2.449247	
b'eagle1'	4083996.687000	11	0.111535	1.213725	0.070000	-0.000001	0.000001	-2.449187	
b'eagle1'	4083997.476000	11	0.111701	1.200735	0.070000	0.000000	-0.000000	-2.448903	
b'eagle1'	4083998.197000	11	0.112258	1.185894	0.070000	0.000000	-0.000001	-2.448539	
b'eagle1'	4083998.926000	11	0.112560	1.172196	0.070000	0.000001	0.000001	-2.446018	
